year,venue,type,award,authors,title,journal,date,link
2025,JSSC,journal,,"Ying Liu, Ninghui Shang, Tianhao Zhao, Peiyu Chen, Tianyu Jia, Zhixuan Wang, Yufei Ma, Le Ye",A 22-nm Residual Spiking Neural Network Chip Based on Sparsity-Adaptive In-Memory Computing and a Spike-Driven Architecture,IEEE Journal of Solid-State Circuits (JSSC),2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:pqnbT2bcN3wC
2025,JSSC,journal,,"Peiyu Chen, Wentao Zhao, Meng Wu, Linxiao Shen, Tianyu Jia, Ru Huang, Le Ye, Yufei Ma",A 22-nm Delta-Sigma Computing-In-Memory SRAM Macro with Near-Zero-Mean Outputs and LSB-First ADCs for Edge AI Processing,IEEE Journal of Solid-State Circuits (JSSC),2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:RGFaLdJalmkC
2025,IEEE Micro,journal,Top Picks,"Martin Cochet, Karthik Swaminathan, Erik Jens Loscalzo, Joseph Zuckerman, Maico Cassel dos Santos, Davide Giri, Alper Buyuktosunoglu, Tianyu Jia, David Brooks, Gu-Yeon Wei, Kenneth Shepard, Luca P. Carloni, and Pradip Bose",BlitzCoin: A Decentralized Hardware Solution for Power Management of Highly-Heterogeneous SoCs,IEEE Micro,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:35N4QoGY0k4C
2024,ICCAD,conference,,"Yanchi Dong, Xueping Liu, Xiaochen Hao, Yun (Eric) Liang, Ru Huang, Le Ye, Tianyu Jia*",Hierarchical Power Co-Optimization and Management for LLM Chiplet Designs,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),Oct. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:lSLTfruPkqcC
2024,ICCAD,conference,,"Qipan Wang, Xueqing Li, Tianyu Jia, Yibo Lin, Runsheng Wang, Ru Huang",ATPlace2.5D: Analytical Thermal-Aware Chiplet Placement Framework for Large-Scale 2.5D-IC,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),Oct. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:JV2RwH3_ST0C
2024,ESSERC,conference,,"Yiqi Jing, Yiyang Sun, Meng Wu, Zhaolongtai Zhu, Jiaqi Zhou, Ru Huang, Le Ye, Tianyu Jia*",NeRF-Learner: A 2.79mJ/Frame NeRF-SLAM Processor with Unified Inference/Training Compute-in-Memory for Large-Scale Neural Rendering,50th IEEE European Solid-State Electronics Research Conference (ESSERC),Sep. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:NMxIlDl6LWMC
2024,VLSI,conference,,"Yanchi Dong, Xueping Liu, Kangbo Bai, Guoxiang Li, Meng Wu, Yiqi Jing, Yihan Zhang, Pixian Zhan, Yadong Zhang, Yufei Ma, Ru Huang, Le Ye*, Tianyu Jia*",A Heterogeneous TinyML SoC with Energy-Event-Performance-Aware Management and Compute-in-Memory Two-Stage Event-Driven Wakeup,IEEE Symposium on VLSI Technology & Circuits (VLSI),Jun. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:blknAaTinKkC
2024,VLSI,conference,,"Erik Loscalzo, Martin Cochet, Joseph Zuckerman, Samira Zaliasl, Michael Lekas, Stephen Cahill, Tianyu Jia, Karthik Swaminathan, et al.",A 400-ns-Settling-Time Hybrid Dynamic Voltage Frequency Scaling Architecture and Its Application in a 22-Core Network-on-Chip SoC in 12-nm FinFET Technology,IEEE Symposium on VLSI Technology & Circuits (VLSI),Jun. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:isC4tDSrTZIC
2024,DAC,conference,,"Yiqi Jing, Meng Wu, Jiaqi Zhou, Yiyang Sun, Yufei Ma, Ru Huang, Le Ye*, Tianyu Jia*",AIG-CIM: A Scalable Chiplet Module with Tri-Gear Heterogeneous Compute-in-Memory for Diffusion Acceleration,IEEE Design Automation Conference (DAC),Jun. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:BqipwSGYUEgC
2024,DAC,conference,,"Mingxuan Li, Qinzhe Zhi, Yanchi Dong, Le Ye, Tianyu Jia*",SPARK: An Efficient Hybrid Acceleration Architecture with Run-Time Sparsity-Aware Scheduling for TinyML Learning,IEEE Design Automation Conference (DAC),Jun. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:YFjsv_pBGBYC
